Team,count,mean upper attempts,mean upper % made,mean lower attempts,mean lower % made,max upper attempts,min upper attempts,max upper % made,min upper % made,max lower attempts,min lower attempts,max lower % made,min lower % made
159,2,5.0,0.0,0.0,,6,4,0.0,0.0,0,0,,
662,1,1.0,0.0,1.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
1011,1,0.0,,4.0,0.8,0,0,,,4,4,0.8,0.8
1332,2,0.0,,4.5,0.9,0,0,,,6,3,1.0,0.8
1339,2,16.0,0.9,0.0,,19,13,1.0,0.8,0,0,,
1410,1,0.0,,7.0,1.0,0,0,,,7,7,1.0,1.0
1619,2,19.5,0.8,0.0,,20,19,0.8,0.8,0,0,,
1977,1,2.0,0.0,2.0,1.0,2,2,0.0,0.0,2,2,1.0,1.0
2996,1,11.0,0.5,0.0,,11,11,0.5,0.5,0,0,,
3200,2,6.5,0.5,0.0,,7,6,1.0,0.0,0,0,,
3374,2,14.5,0.7,0.0,,18,11,0.8,0.5,0,0,,
3729,2,8.0,0.6,0.0,,9,7,0.9,0.3,0,0,,
4293,1,0.0,,8.0,0.4,0,0,,,8,8,0.4,0.4
4386,1,6.0,0.5,0.0,,6,6,0.5,0.5,0,0,,
4388,2,7.5,0.8,0.0,,14,1,1.0,0.5,0,0,,
4418,2,0.0,,10.0,0.9,0,0,,,12,8,1.0,0.8
4499,2,6.5,0.6,0.0,,7,6,0.7,0.5,0,0,,
4550,1,1.0,0.0,0.0,,1,1,0.0,0.0,0,0,,
4593,1,14.0,0.8,0.0,,14,14,0.8,0.8,0,0,,
5690,2,14.0,0.8,0.0,,16,12,0.9,0.8,0,0,,
5763,1,0.0,,0.0,,0,0,,,0,0,,
7479,1,0.0,,0.0,,0,0,,,0,0,,
7737,1,0.0,,0.0,,0,0,,,0,0,,
8250,2,3.5,0.8,0.0,,4,3,1.0,0.7,0,0,,
